C1, 10.16, 78.74, 0.00, 22uf, C0603
C14, 46.99, 87.63, 180.00, 0.1uf, C0402
C15, 17.78, 87.63, 0.00, 0.1uf, C0402
C17, 30.48, 34.29, 0.00, 0.1uf, C0402
C18, 30.48, 31.75, 0.00, 0.1uf, C0402
C19, 69.85, 77.47, 0.00, 0.1uf, C0402
C2, 80.01, 64.77, 270.00, 0.1uf, C0402
C20, 69.85, 80.01, 0.00, 4.7uf, C0402
C21, 27.94, 91.44, 0.00, 22uf, C0603
C22, 27.94, 88.90, 180.00, 0.1uf, C0402
C23, 72.39, 5.08, 90.00, 1uf, C0603
C24, 17.78, 80.01, 0.00, 0.1uf, C0402
C25, 17.78, 82.55, 0.00, 0.1uf, C0402
C3, 10.16, 82.55, 0.00, 22uf, C0603
C4, 59.69, 60.96, 0.00, 0.1uf, C0402
C5, 74.93, 71.12, 90.00, 1nf, C0402
C7, 63.50, 72.39, 270.00, 10pf, C0402
C8, 58.42, 72.39, 270.00, 10pf, C0402
C9, 17.78, 96.52, 0.00, 0.1uf, C0402
D1, 59.69, 91.44, 0.00, BAT760, SOD323(F)
D2, 15.24, 24.13, 90.00, , DO-214AC
D3, 69.85, 31.75, 0.00, , DO-214AC
L1, 81.28, 64.77, 90.00, MLG0603S24NJTD25, INDC0603X33N
Q1, 17.78, 93.98, 90.00, MMSS8050-H-TP, TRANS_MMSS8050-H-TP
Q2, 46.99, 93.98, 90.00, MMSS8050-H-TP, TRANS_MMSS8050-H-TP
Q4, 69.85, 25.40, 180.00, MMSS8050-H-TP, TRANS_MMSS8050-H-TP
Q5, 22.86, 26.67, 270.00, , 3.2X1.5
Q6, 88.90, 43.18, 0.00, MMSS8050-H-TP, TRANS_MMSS8050-H-TP
R1, 59.69, 88.90, 0.00, 22.1k, R0402
R10, 48.26, 85.09, 0.00, 10k, R0402
R11, 17.78, 85.09, 0.00, 10k, R0402
R12, 48.26, 82.55, 0.00, 10k, R0402
R13, 59.69, 55.88, 0.00, 2k, R0402
R14, 30.48, 19.05, 0.00, 3.3K, R0603
R15, 30.48, 22.86, 0.00, 3.3K, R0603
R17, 16.51, 29.21, 0.00, 200, R0603
R18, 30.48, 26.67, 180.00, 3.3K, R0603
R19, 20.32, 19.05, 180.00, 1.5M, R0603
R2, 80.01, 87.63, 180.00, 2k, R0402
R20, 20.32, 22.86, 180.00, 510K, R0603
R21, 48.26, 90.17, 0.00, 10k, R0402
R22, 88.90, 39.37, 0.00, 10k, R0402
R23, 59.69, 81.28, 0.00, 10k, R0402
R24, 59.69, 86.36, 180.00, 2k, R0402
R25, 59.69, 83.82, 0.00, 22.1k, R0402
R26, 59.69, 78.74, 180.00, 47.5k, R0402
R27, 88.90, 45.72, 0.00, 330, R0402
R28, 67.31, 5.08, 270.00, 10k, R0402
R29, 69.85, 5.08, 270.00, 10k, R0402
R3, 68.58, 64.77, 90.00, 50, R0402
R30, 64.77, 5.08, 270.00, 330, R0402
R31, 35.56, 50.80, 270.00, 2k, R0402
R32, 39.37, 50.80, 270.00, 2k, R0402
R33, 43.18, 50.80, 270.00, 2k, R0402
R34, 34.29, 64.77, 270.00, 3.3K, R0603
R35, 38.10, 64.77, 270.00, 3.3K, R0603
R36, 41.91, 64.77, 270.00, 3.3K, R0603
R37, 17.78, 90.17, 0.00, 10k, R0402
R4, 68.58, 62.23, 270.00, 50, R0402
R5, 59.69, 63.50, 180.00, 50, R0402
R6, 59.69, 58.42, 180.00, 50, R0402
R7, 73.66, 71.12, 270.00, 75, R0402
R8, 85.09, 66.04, 90.00, 220, R0402
R9, 85.09, 60.96, 270.00, 220, R0402
